Abbreviation,Name,Reaction,GPR,Subsystem,Reversible,Lower bound,Upper bound,Objective
PAPSR,phosphoadenylyl-sulfate reductase (thioredoxin),paps[c] + trdrd[c] <==> (2) h[c] + pap[c] + so3[c] + trdox[c],(MA2894 or MA2894),Cysteine Metabolism,0,0.0,1000,0
R01411,5-Methylcytosine aminohydrolase,5mcyt[c] + h2o[c] + h[c] <==> nh4[c] + thym[c],MA2559,Cysteine Metabolism,0,0.0,1000,0
SADT2,Sulfate adenyltransferase,atp[c] + so4[c] <==> aps[c] + ppi[c],MA3680,Cysteine Metabolism,0,0.0,1000,0
SERAT,serine O-acetyltransferase,accoa[c] + ser-L[c] <==> acser[c] + coa[c],(MA2721 or MA3442),Cysteine Metabolism,1,-1000.0,1000,0
SHSL2r,O-succinylhomoserine lyase (H2S),h2s[c] + suchms[c] <==> h[c] + hcys-L[c] + succ[c],MA2715,Cysteine Metabolism,0,0.0,1000,0
ABTA,4-aminobutyrate transaminase,4abut[c] + akg[c] <==> glu-L[c] + sucsal[c],(MA0119 or MA2859),Glutamate metabolism,1,-1000.0,1000,0
ARGDC,arginine decarboxylase,arg-L[c] + h[c] <==> agm[c] + co2[c],(MA3012 or MA3496),Glutamate metabolism,0,0.0,1000,0
CBPS,carbamoyl-phosphate synthase (glutamine-hydrolysing),(2) atp[c] + gln-L[c] + h2o[c] + hco3[c] <==> (2) adp[c] + cbp[c] + glu-L[c] + (2) h[c] + pi[c],(MA2143 and MA2144),Glutamate metabolism,0,0.0,1000,0
GF6PTA,glutamine-fructose-6-phosphate transaminase,f6p[c] + gln-L[c] <==> gam6p[c] + glu-L[c],MA3023,Glutamate metabolism,0,0.0,1000,0
GLUDC,Glutamate Decarboxylase,glu-L[c] + h[c] <==> 4abut[c] + co2[c],(MA0006 or MA1949 or MA3012 or MA3496),Glutamate metabolism,0,0.0,1000,0
GLUDxi,glutamate dehydrogenase (NAD),akg[c] + h[c] + nadh[c] + nh4[c] <==> glu-L[c] + h2o[c] + nad[c],MA3169,Glutamate metabolism,0,0.0,1000,0
GLUDyi,glutamate dehydrogenase (NADP),akg[c] + h[c] + nadph[c] + nh4[c] <==> glu-L[c] + h2o[c] + nadp[c],MA3169,Glutamate metabolism,0,0.0,1000,0
GLUPRT,glutamine phosphoribosyldiphosphate amidotransferase,gln-L[c] + h2o[c] + prpp[c] <==> glu-L[c] + ppi[c] + pram[c],MA3193,Glutamate metabolism,0,0.0,1000,0
GLUS_F420_,F420-dependent glutamate synthase,akg[c] + f420-2h2[c] + gln-L[c] <==> f420-2[c] + (2) glu-L[c] + h[c],Unassigned,Glutamate metabolism,0,0.0,1000,0
GLUTRS,Glutamyl-tRNA synthetase,atp[c] + glu-L[c] + trnaglu[c] <==> amp[c] + glutrna[c] + ppi[c],MA0587,Glutamate metabolism,0,0.0,1000,0
GLUTRS_Gln_,Nonspecific glutamyl-tRNA synthase (glutrna(gln) forming),atp[c] + glu-L[c] + trnagln[c] <==> amp[c] + ppi[c] + glutrna_gln[c],MA0587,Glutamate metabolism,0,0.0,1000,0
GTHOr,glutathione oxidoreductase,gthox[c] + h[c] + nadph[c] <==> (2) gthrd[c] + nadp[c],(MA1019 or MA1652 or MA4013),Glutamate metabolism,0,0.0,1000,0
SSALx,succinate-semialdehyde dehydrogenase (NAD),h2o[c] + nad[c] + sucsal[c] <==> (2) h[c] + nadh[c] + succ[c],(MA0705 or MA1355 or MA2860 or MA4079),Glutamate metabolism,0,0.0,1000,0
SSALy,succinate-semialdehyde dehydrogenase (NADP),h2o[c] + nadp[c] + sucsal[c] <==> (2) h[c] + nadph[c] + succ[c],(MA0705 or MA1355 or MA2860 or MA4079),Glutamate metabolism,0,0.0,1000,0
GLNS,glutamine synthetase,atp[c] + glu-L[c] + nh4[c] <==> adp[c] + gln-L[c] + h[c] + pi[c],(MA3382 or MA4216),Glutamine Metabolism,0,0.0,1000,0
GLNTRAT,glutamyl-tRNA(Gln) amidotransferase,atp[c] + gln-L[c] + h2o[c] + glutrna_gln[c] <==> adp[c] + glu-L[c] + h[c] + pi[c] + glntrna[c],(MA1317 and MA2862 and MA4522 and MA4523 and MA4524),Glutamine Metabolism,0,0.0,1000,0
GMPS2,GMP synthase,atp[c] + gln-L[c] + h2o[c] + xmp[c] <==> amp[c] + glu-L[c] + gmp[c] + (2) h[c] + ppi[c],(MA4511 or MA4590 or MA1151 or MA2696 or MA2966),Glutamine Metabolism,0,0.0,1000,0
NADS1,NAD synthase (nh3),atp[c] + dnad[c] + nh4[c] <==> amp[c] + h[c] + nad[c] + ppi[c],(MA1030 or MA3526 or MA3715),Glutamine Metabolism,0,0.0,1000,0
NADS2,NAD synthase (glutamine-hydrolysing),atp[c] + dnad[c] + gln-L[c] + h2o[c] <==> amp[c] + glu-L[c] + h[c] + nad[c] + ppi[c],(MA1030 or MA3526 or MA3715),Glutamine Metabolism,0,0.0,1000,0
GHMT2,glycine hydroxymethyltransferase,gly[c] + h2o[c] + mlthf[c] <==> ser-L[c] + thf[c],MA3520,Glycine and Serine Metabolism,1,-1000.0,1000,0
GLYTRS,Glycyl-tRNA synthetase,atp[c] + gly[c] + trnagly[c] <==> amp[c] + ppi[c] + glytrna[c],MA0097,Glycine and Serine Metabolism,0,0.0,1000,0
PGCD,phosphoglycerate dehydrogenase,3pg[c] + nad[c] <==> 3php[c] + h[c] + nadh[c],(MA0592 or MA1334),Glycine and Serine Metabolism,1,-1000.0,1000,0
PSERT,phosphoserine transaminase,akg[c] + pser-L[c] <==> 3php[c] + glu-L[c],MA2304,Glycine and Serine Metabolism,1,-1000.0,1000,0
PSP_L,phosphoserine phosphatase (L-serine),h2o[c] + pser-L[c] <==> pi[c] + ser-L[c],(MA4429 or MA4428),Glycine and Serine Metabolism,0,0.0,1000,0
R08576,O-phospho-L-serine:tRNA(Cys) ligase (AMP-forming),pser-L[c] + trnacys[c] + atp[c] <==> cystrna_pser[c] + amp[c] + ppi[c],MA0090,Glycine and Serine Metabolism,0,0.0,1000,0
SERTRS,Seryl-tRNA synthetase,atp[c] + ser-L[c] + trnaser[c] <==> amp[c] + ppi[c] + sertrna[c],MA4048,Glycine and Serine Metabolism,0,0.0,1000,0
ACYP,acylphosphatase,13dpg[c] + h2o[c] <==> 3pg[c] + h[c] + pi[c],MA3367,GlycolysisGluconeogenesis,0,0.0,1000,0
ENO,enolase,2pg[c] <==> h2o[c] + pep[c],MA1672,GlycolysisGluconeogenesis,1,-1000.0,1000,0
FBA,fructose-bisphosphate aldolase,fdp[c] <==> dhap[c] + g3p[c],((MA2666 or MA3889) or (MA0439 or MA4591)),GlycolysisGluconeogenesis,1,-1000.0,1000,0
FBP,fructose-bisphosphatase (f6p-forming),fdp[c] + h2o[c] <==> f6p[c] + pi[c],MA1152,GlycolysisGluconeogenesis,0,0.0,1000,0
GAPD,glyceraldehyde-3-phosphate dehydrogenase,g3p[c] + nad[c] + pi[c] <==> 13dpg[c] + h[c] + nadh[c],(MA1018 or MA3345),GlycolysisGluconeogenesis,1,-1000.0,1000,0
GK_adp_,ADP-dependent glucokinase,adp[c] + glc-D[c] <==> amp[c] + g6p[c] + h[c],(MA3562 or MA3563),GlycolysisGluconeogenesis,0,0.0,1000,0
PFK_adp_,ADP-specific phosphofructokinase ,adp[c] + f6p[c] <==> amp[c] + fdp[c] + h[c],(MA3562 or MA3563),GlycolysisGluconeogenesis,0,0.0,1000,0
PGI,glucose-6-phosphate isomerase,g6p[c] <==> f6p[c],MA0821,GlycolysisGluconeogenesis,1,-1000.0,1000,0
PGK,phosphoglycerate kinase,3pg[c] + atp[c] <==> 13dpg[c] + adp[c],(MA2669 or MA3592),GlycolysisGluconeogenesis,1,-1000.0,1000,0
PGM,phosphoglycerate mutase,2pg[c] <==> 3pg[c],(MA2671 or MA4007 or MA0132 or MA2400 or MA3365),GlycolysisGluconeogenesis,1,-1000.0,1000,0
PPS,phosphoenolpyruvate synthase,atp[c] + h2o[c] + pyr[c] <==> amp[c] + (2) h[c] + pep[c] + pi[c],((MA2458 or MA2667 or MA3408) or (MA2458 or MA2667 or MA3408) or (MA2458 or MA2667 or MA3408)),GlycolysisGluconeogenesis,0,0.0,1000,0
PYK,pyruvate kinase,adp[c] + h[c] + pep[c] <==> atp[c] + pyr[c],MA3890,GlycolysisGluconeogenesis,0,0.0,1000,0
PYRDC,pyruvate decarboxylase,h[c] + pyr[c] <==> acald[c] + co2[c],MA0594,GlycolysisGluconeogenesis,0,0.0,1000,0
TPI,triose-phosphate isomerase,g3p[c] <==> dhap[c],MA4607,GlycolysisGluconeogenesis,1,-1000.0,1000,0
ATPPRT,ATP phosphoribosyltransferase,ppi[c] + prbatp[c] <==> atp[c] + prpp[c],MA0217,Histidine Metabolism,1,-1000.0,1000,0
HISTD,histidinol dehydrogenase,h2o[c] + histd[c] + (2) nad[c] <==> (3) h[c] + his-L[c] + (2) nadh[c],MA3201,Histidine Metabolism,0,0.0,1000,0
HISTP,histidinol-phosphatase,h2o[c] + hisp[c] <==> histd[c] + pi[c],MA0219,Histidine Metabolism,0,0.0,1000,0
HISTRS,Histidyl-tRNA synthetase,atp[c] + his-L[c] + trnahis[c] <==> amp[c] + ppi[c] + histrna[c],MA0943,Histidine Metabolism,0,0.0,1000,0
HSTPT,histidinol-phosphate transaminase,akg[c] + hisp[c] <==> glu-L[c] + imacp[c],(MA0118 or MA0942),Histidine Metabolism,1,-1000.0,1000,0
IG3PS,Imidazole-glycerol-3-phosphate synthase,gln-L[c] + prlp[c] <==> aicar[c] + eig3p[c] + glu-L[c] + h[c],(MA0541 and MA0913),Histidine Metabolism,0,0.0,1000,0
IGPDH,imidazoleglycerol-phosphate dehydratase,eig3p[c] <==> h2o[c] + imacp[c],MA0219,Histidine Metabolism,0,0.0,1000,0
NBAHH,Nalpha-(beta-alanyl)-L-histidine hydrolase,carn[c] + h2o[c] <==> ala-B[c] + his-L[c] + h[c],MA2653,Histidine Metabolism,0,0.0,1000,0
PRAMPC,phosphoribosyl-AMP cyclohydrolase,h2o[c] + prbamp[c] <==> prfp[c],MA0908,Histidine Metabolism,0,0.0,1000,0
PRATPP,phosphoribosyl-ATP pyrophosphatase,h2o[c] + prbatp[c] <==> h[c] + ppi[c] + prbamp[c],MA1392,Histidine Metabolism,0,0.0,1000,0
PRMICIi,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase (irreversible),prfp[c] <==> prlp[c],(MA0218 or MA4435),Histidine Metabolism,0,0.0,1000,0
PRPPS,phosphoribosylpyrophosphate synthetase,atp[c] + r5p[c] <==> amp[c] + h[c] + prpp[c],MA1167,Histidine Metabolism,1,-1000.0,1000,0
RPI,ribose-5-phosphate isomerase,r5p[c] <==> ru5p-D[c],MA1683,Histidine Metabolism,1,-1000.0,1000,0
ACACT1,acetyl-CoA C-acetyltransferase,(2) accoa[c] <==> aacoa[c] + coa[c],MA4042,Lipid Cell Wall Metabolism,1,-1000.0,1000,0
ACNPLYS,N-acetylneuraminate synthase;,acnam[c] + pi[c] <==> h2o[c] + pep[c] + acmana[c],MA3767,Lipid Cell Wall Metabolism,1,-1000.0,1000,0
AGAIAGT,archaeatidylinositol N-acetylglucosaminyltransferase,dpgpi[c] + uacgam[c] <==> agdpgpi[c] + h[c] + udp[c],MA0798,Lipid Cell Wall Metabolism,0,0.0,1000,0
AGAID,N-acetylglucosaminylarchaeatidylinositol deacetylase,agdpgpi[c] + h2o[c] <==> ac[c] + gdpgpi[c],MA0990,Lipid Cell Wall Metabolism,0,0.0,1000,0
ASD,archaetidylserine decarboxylase,dpgps[c] + h[c] <==> co2[c] + dpgpe[c],MA0115,Lipid Cell Wall Metabolism,0,0.0,1000,0
ATGH,archaetidylglycerol hydrogenase,dggpg[c] + (8) h[c] + (8) nadph[c] <==> dpgpg[c] + (8) nadp[c],MA1484,Lipid Cell Wall Metabolism,0,0.0,1000,0
ATIH,archaetidylinositol hydrogenase,dggpi[c] + (8) h[c] + (8) nadph[c] <==> dpgpi[c] + (8) nadp[c],MA1484,Lipid Cell Wall Metabolism,0,0.0,1000,0
ATSH,archaetidylserine hydrogenase,dgggps[c] + (8) h[c] + (8) nadph[c] <==> dpgps[c] + (8) nadp[c],MA1484,Lipid Cell Wall Metabolism,0,0.0,1000,0
CDGGGPP3,CDP-alcohol phosphatidyltransferase (glycerol 1-phosphate),cdgggp[c] + glyc1p[c] <==> cmp[c] + dggpgp[c] + h[c],(MA0264 or MA0525),Lipid Cell Wall Metabolism,0,0.0,1000,0
CDGGGPP4,CDP-alcohol phosphatidyltransferase (glycerol 1-phosphate) (hydroxy),3hcdgggp[c] + glyc1p[c] <==> 3hdggpgp[c] + cmp[c] + h[c],(MA0264 or MA0525),Lipid Cell Wall Metabolism,0,0.0,1000,0
CDGGGS,"CDP-2,3-di-O-geranylgeranyl-sn-glycerol synthase",ctp[c] + dgggp[c] + h[c] <==> cdgggp[c] + ppi[c],MA2010,Lipid Cell Wall Metabolism,0,0.0,1000,0
CDGGGS2,CDP-2-O-(3'-hydroxy)geranyl-3-O-geranyl-sn-glycerol synthase,3hdgggp[c] + ctp[c] + h[c] <==> 3hcdgggp[c] + ppi[c],MA2010,Lipid Cell Wall Metabolism,0,0.0,1000,0
CDGGGSAT,"CDP-2,3-di-O-geranylgeranyl-sn-glyceroserine O-archaetidyltransferase",cdgggp[c] + ser-L[c] <==> cmp[c] + dgggps[c] + h[c],MA0116,Lipid Cell Wall Metabolism,0,0.0,1000,0
CDGGGSAT2,CDP-2-O-(3'-hydroxy)geranyl-3-O-geranyl-sn-glyceroserine O-archaetidyltransferase,3hcdgggp[c] + ser-L[c] <==> 3hdgggps[c] + cmp[c] + h[c],MA0116,Lipid Cell Wall Metabolism,0,0.0,1000,0
CDGGIPT,CDP-digeranyl-sn-glycero-myo-inositol 3-phosphatidyltransferase,cdgggp[c] + inost[c] <==> cmp[c] + dggpi[c] + h[c],MA0525,Lipid Cell Wall Metabolism,0,0.0,1000,0
CDGGIPT2,CDP-digeranyl-sn-glycero-myo-inositol 3-phosphatidyltransferase (3' hydroxy),3hcdgggp[c] + inost[c] <==> 3hdggpi[c] + cmp[c] + h[c],MA0525,Lipid Cell Wall Metabolism,0,0.0,1000,0
DGGGPS,digeranylgeranylglyceryl phosphate synthase,ggdp[c] + gggp[c] <==> dgggp[c] + ppi[c],MA0961,Lipid Cell Wall Metabolism,0,0.0,1000,0
DGGGPS2,2-O-(3┐-hydroxy)geranyl-3-O-geranyl-sn-glycerol synthase,3hggdp[c] + gggp[c] <==> 3hdgggp[c] + ppi[c],MA0961,Lipid Cell Wall Metabolism,0,0.0,1000,0
DGGPGP,digeranyl-sn-glycerol-1-phospho-3'-sn-glycerol phosphatase,dggpgp[c] + h2o[c] <==> dggpg[c] + pi[c],MA1569,Lipid Cell Wall Metabolism,0,0.0,1000,0
DGGPGP2,digeranyl-sn-glycerol-1-phospho-3'-sn-glycerol phosphatase (hydroxy),3hdggpgp[c] + h2o[c] <==> 3hdggpg[c] + pi[c],MA1569,Lipid Cell Wall Metabolism,0,0.0,1000,0
DGLYOX,D-Glyceraldehyde:NAD+ oxidoreductase,glyald[c] + h2o[c] + nad[c] <==> glyc-R[c] + (2) h[c] + nadh[c],MA2860,Lipid Cell Wall Metabolism,0,0.0,1000,0
DMATT,dimethylallyltranstransferase,dmpp[c] + ipdp[c] <==> grdp[c] + ppi[c],MA0606,Lipid Cell Wall Metabolism,0,0.0,1000,0
DMATT2,dimethylallyltranstransferase (3-hydroxy),ipdp[c] + m3hdp[c] <==> 3hgrdp[c] + ppi[c],MA0606,Lipid Cell Wall Metabolism,0,0.0,1000,0
FRTT,farnesyltranstransferase,frdp[c] + ipdp[c] <==> ggdp[c] + ppi[c],((MA0606 or MA4150) or MA1831 or MA3723 or MA4402),Lipid Cell Wall Metabolism,0,0.0,1000,0
FRTT2,farnesyltranstransferase (3-hyroxy),3hfrdp[c] + ipdp[c] <==> 3hggdp[c] + ppi[c],((MA0606 or MA4150) or MA1831 or MA3723 or MA4402),Lipid Cell Wall Metabolism,0,0.0,1000,0
G1PACT,glucosamine-1-phosphate N-acetyltransferase,accoa[c] + gam1p[c] <==> acgam1p[c] + coa[c] + h[c],(MA3022 or MA3025 or MA3140),Lipid Cell Wall Metabolism,0,0.0,1000,0
G1PDH,glycerol-1-phosphate dehydrogenase (NAD),glyc1p[c] + nad[c] <==> dhap[c] + h[c] + nadh[c],MA3686,Lipid Cell Wall Metabolism,1,-1000.0,1000,0
G1PTT,glucose-1-phosphate thymidylyltransferase,dttp[c] + g1p[c] + h[c] <==> dtdpglu[c] + ppi[c],(MA2183 or MA3022 or MA3777),Lipid Cell Wall Metabolism,0,0.0,1000,0
GALTNS,Galactan synthesis (cell wall),udpgal[c] <==> galactan[c] + h[c] + udp[c],Unassigned,Lipid Cell Wall Metabolism,0,0.0,1000,0
GGDPRED,geranylgeranyl reductase,ggdp[c] + (3) h[c] + (3) nadph[c] <==> (3) nadp[c] + phydp[c],Unassigned,Lipid Cell Wall Metabolism,0,0.0,1000,0
GGGPS,geranylgeranylglyceryl phosphate synthase,ggdp[c] + glyc1p[c] <==> gggp[c] + ppi[c],MA3969,Lipid Cell Wall Metabolism,0,0.0,1000,0
GLYCDx,Glycerol dehydrogenase,glyc[c] + nad[c] <==> dha[c] + h[c] + nadh[c],MA0591,Lipid Cell Wall Metabolism,0,0.0,1000,0
GRTT,geranyltranstransferase,grdp[c] + ipdp[c] <==> frdp[c] + ppi[c],(MA0606 or MA1831 or MA3723 or MA4150 or MA4402),Lipid Cell Wall Metabolism,0,0.0,1000,0
GRTT2,geranyltranstransferase (3-hydroxy),3hgrdp[c] + ipdp[c] <==> 3hfrdp[c] + ppi[c],(MA0606 or MA1831 or MA3723 or MA4150 or MA4402),Lipid Cell Wall Metabolism,0,0.0,1000,0
HASD,hydroxyarchaetidylserine decarboxylase,3hdpgps[c] + h[c] <==> 3hdpgpe[c] + co2[c],MA0115,Lipid Cell Wall Metabolism,0,0.0,1000,0
HATGH,hydroxyarchaetidylglycerol hydrogenase,3hdggpg[c] + (7) h[c] + (7) nadph[c] <==> 3hdpgpg[c] + (7) nadp[c],MA1484,Lipid Cell Wall Metabolism,0,0.0,1000,0
HATIH,hydroxyarchaetidylinositol hydrogenase,3hdggpi[c] + (7) h[c] + (7) nadph[c] <==> 3hdpgpi[c] + (7) nadp[c],MA1484,Lipid Cell Wall Metabolism,0,0.0,1000,0
HATSH,hydroxyarchaetidylserine hydrogenase,3hdgggps[c] + (7) h[c] + (7) nadph[c] <==> 3hdpgps[c] + (7) nadp[c],MA1484,Lipid Cell Wall Metabolism,0,0.0,1000,0
HBZOPT,Hydroxybenzoate octaprenyltransferase,4hbz[c] + octdp[c] <==> 3ophb[c] + ppi[c],MA0961,Lipid Cell Wall Metabolism,0,0.0,1000,0
HMGCOARi,Hydroxymethylglutaryl CoA reductase (ir),(2) h[c] + hmgcoa[c] + (2) nadph[c] <==> coa[c] + mev-R[c] + (2) nadp[c],MA3073,Lipid Cell Wall Metabolism,0,0.0,1000,0
HMGCOASi,Hydroxymethylglutaryl CoA synthase (ir),aacoa[c] + accoa[c] + h2o[c] <==> coa[c] + h[c] + hmgcoa[c],MA4041,Lipid Cell Wall Metabolism,0,0.0,1000,0
IPDPH,IPDP hydrolase,ipdp[c] + h2o[c] <==> m3hdp[c],Unassigned,Lipid Cell Wall Metabolism,1,-1000.0,1000,0
IPPK,IP kinase,ipp[c] + atp[c] <==> adp[c] + ipdp[c],MA0603,Lipid Cell Wall Metabolism,0,0.0,1000,0
MEVK1,mevalonate kinase (atp),atp[c] + mev-R[c] <==> 5pmev[c] + adp[c] + h[c],MA0602,Lipid Cell Wall Metabolism,0,0.0,1000,0
OCTDPSYN,octoprenyl-diphopshpate synthase,hepdp[c] + ipdp[c] <==> octdp[c] + ppi[c],Unassigned,Lipid Cell Wall Metabolism,0,0.0,1000,0
PGAMS,Poly-galactosamine synthesis (cell wall),uacgam[c] <==> polyacgal[c] + h[c] + udp[c],Unassigned,Lipid Cell Wall Metabolism,0,0.0,1000,0
PGAMT,phosphoglucosamine mutase,gam6p[c] <==> gam1p[c],(MA0241 or MA2665 or MA3024),Lipid Cell Wall Metabolism,0,0.0,1000,0
PGLCURS,Poly-glucuronic acid (cell wall),udpglcur[c] <==> polyglcur[c] + h[c] + udp[c],Unassigned,Lipid Cell Wall Metabolism,0,0.0,1000,0
PMVD,Phosphomevalonate decarboxylase,5pmev[c] + h[c] <==> co2[c] + h2o[c] + ipp[c],MA0601,Lipid Cell Wall Metabolism,0,0.0,1000,0
R04215,CTP:N-glycoloylneuraminate cytidylyltransferase,ctp[c] + glnam[c] <==> glnamcmp[c] + ppi[c],MA3766,Lipid Cell Wall Metabolism,0,0.0,1000,0
R05680,sn-Glycerol-1-phosphate:NADP 2-oxidoreductase,glyc1p[c] + nadp[c] <==> dhap[c] + h[c] + nadph[c],MA3686,Lipid Cell Wall Metabolism,0,0.0,1000,0
TDPDRE,"dTDP-4-dehydrorhamnose 3,5-epimerase",dtdp4d6dg[c] <==> dtdp4d6dm[c],(MA1909 or MA3780),Lipid Cell Wall Metabolism,0,0.0,1000,0
TDPDRR,dTDP-4-dehydrorhamnose reductase,dtdp4d6dm[c] + h[c] + nadph[c] <==> dtdprmn[c] + nadp[c],MA3778,Lipid Cell Wall Metabolism,0,0.0,1000,0
TDPGDH,"dTDPglucose 4,6-dehydratase",dtdpglu[c] <==> dtdp4d6dg[c] + h2o[c],(MA1185 or MA2186 or MA3779 or MA4464),Lipid Cell Wall Metabolism,0,0.0,1000,0
UAG2EMA,UDP-N-acetyl-D-glucosamine 2-epimerase (Hydrolysis),h2o[c] + uacgam[c] <==> h[c] + udp[c] + acmana[c],Unassigned,Lipid Cell Wall Metabolism,0,0.0,1000,0
UAGDP,UDP-N-acetylglucosamine diphosphorylase,acgam1p[c] + h[c] + utp[c] <==> ppi[c] + uacgam[c],(MA3022 or MA3025 or MA3140),Lipid Cell Wall Metabolism,0,0.0,1000,0
MFRBS,MFR(b) synthesis,4gggaepmamfr[c] + glu-L[c] <==> mfr_b[c] + h2o[c],Unassigned,Methanofuran synthesis,0,0.0,1000,0
MFRS1,Methanofuran intermediate 1 biosynthesis,dhap[c] + pep[c] + h2o[c] <==> mfrbi1[c],Unassigned,Methanofuran synthesis,0,0.0,1000,0
MFRS10,4-[N-γ-L-glutamyl-)-p-(β-aminoethyl)phenoxy-methyl]-2-(aminomethyl)furan glutamate extention,4gaepmamfr[c] + glu-L[c] <==> 4ggaepmamfr[c] + h2o[c],Unassigned,Methanofuran synthesis,0,0.0,1000,0
MFRS11,Third glutatamate addition to MFR(b),4ggaepmamfr[c] + glu-L[c] <==> 4gggaepmamfr[c] + h2o[c],Unassigned,Methanofuran synthesis,0,0.0,1000,0
MFRS2,Methanofuran intermediate 1 kinase,mfrbi1[c] <==> mfrbi2[c] + pi[c],Unassigned,Methanofuran synthesis,0,0.0,1000,0
MFRS3,Methanofuran intermediate 2 dehydration,mfrbi2[c] <==> mfrbi3[c] + h2o[c],Unassigned,Methanofuran synthesis,0,0.0,1000,0
MFRS4,Methanofuran intermediate 3 isomerization,mfrbi3[c] <==> mfrbi4[c],Unassigned,Methanofuran synthesis,0,0.0,1000,0
MFRS5,Methanofuran intermediate 4 dehydration,mfrbi4[c] <==> 24sf[c] + h2o[c],Unassigned,Methanofuran synthesis,0,0.0,1000,0
MFRS6,"2,4-substituted-furan reduction (nad)",24sf[c] + atp[c] + nadh[c] + h[c] <==> 2frald[c] + adp[c] + pi[c] + nad[c],Unassigned,Methanofuran synthesis,0,0.0,1000,0
MFRS7,2-furaldehyde transaminase,2frald[c] + glu-L[c] <==> 2mafr[c] + akg[c],Unassigned,Methanofuran synthesis,0,0.0,1000,0
MFRS8,p-(β-aminoethyl)phenoxy-methyl-2-(aminomethyl)furan biosynthesis,tym[c] + 2mafr[c] <==> aepmamfr[c] + pi[c],Unassigned,Methanofuran synthesis,0,0.0,1000,0
MFRS9,p-(β-aminoethyl)phenoxy-methyl-2-(aminomethyl)furan glutamate extention,aepmamfr[c] + glu-L[c] <==> 4gaepmamfr[c] + h2o[c],Unassigned,Methanofuran synthesis,0,0.0,1000,0
TYRCBOX,L-Tyrosine carboxy-lyase,h[c] + tyr-L[c] <==> co2[c] + tym[c],MA0006,Methanofuran synthesis,0,0.0,1000,0
ACKr,acetate kinase,ac[c] + atp[c] <==> actp[c] + adp[c],MA3606,Methanogenesis,1,-1000.0,1000,0
ATPS4r,ATP synthase (four protons for one ATP),(1) h[e] + (3) na1[e] + adp[c] + pi[c] <==> (0) h[c] + (3) na1[c] + atp[c] + h2o[c],(MA4152 and MA4153 and MA4154 and MA4155 and MA4156 and MA4157 and MA4158 and MA4159 and MA4160),Methanogenesis,0,0.0,1000,0
CM5HBCMT,Coenzyme M-methylcobalamide methyltransferase,com[c] + m5hbc[c] <==> mcom[c] + 5hbc_red[c] + h[c],Unassigned,Methanogenesis,1,-1000.0,1000,0
CODH2,carbon monoxide dehydrogenase / acetyl-CoA synthase 2,co[c] + (2) fdox[c] + h2o[c] <==> co2[c] + (2) fdred[c] + (2) h[c],((MA1016 or MA3860 or MA4399) and (MA1011 or MA3865)) or (MA3283 and (MA1309 or MA3282)),Methanogenesis,0,0.0,1000,0
CODH2_SIDERXN,Formate formation (side reaction of CO-dehydrogenase),co[c] + h2o[c] <==> for[c] + h[c],(MA1011 or MA3865) and (MA1016 or MA3860 or MA4399),Methanogenesis,0,0.0,1000,0
CODH3,carbon monoxide dehydrogenase / acetyl-CoA synthase 2,co[c] + coa[c] + mh4spt[c] <==> h4spt[c] + accoa[c],((MA1012 or MA3864) and (MA1014 or MA3862) and (MA1015 or MA3861)),Methanogenesis,0,0.0,1000,0
CODHr,carbon monoxide dehydrogenase / acetyl-CoA synthase,accoa[c] + (2) fdox[c] + h2o[c] + h4spt[c] <==> co2[c] + coa[c] + (2) fdred[c] + (2) h[c] + mh4spt[c],(MA1016 or MA3860 or MA1309 or MA3282) and (MA1014 or MA3862) and (MA1012 or MA3864) and (MA1015 or MA3861) and (MA1011 or MA3865) and (MA1013 or MA3863) and MA4399,Methanogenesis,1,-1000.0,1000,0
DMAMT,Dimethylamine methyltransferase,dma[c] + h[c] + 5hbc_red[c] <==> mma[c] + m5hbc[c],(MA0847 or MA0146) and (MA0532 or MA0933 or MA2425) and (MA0527 or MA0934 or MA2424),Methanogenesis,0,0.0,1000,0
F4D,F420 Deydrogenase,f420-2h2[c] + mphen[c] <==> f420-2[c] + (1) h[e] + mphenh2[c],MA1494 and MA1495 and MA1496 and MA1497 and MA1498 and MA1499 and MA1500 and (MA1501 or MA1502) and MA1503 and MA1504 and MA1505 and MA1506 and (MA1507 or MA1509) and MA3732,Methanogenesis,0,0.0,1000,0
F4MTSPD,coenzyme F420-dependent N(5) N(10)-methenyltetrahydrosarcinapterin dehydrogenase,f420-2h2[c] + menylh4spt[c] <==> f420-2[c] + (2) h[c] + mleneh4spt[c],MA4430,Methanogenesis,1,-1000.0,1000,0
F4MTSPR,coenzyme F420-dependent N(5) N(10)-methenyltetrahydrosarcinapterin reductase,f420-2h2[c] + mleneh4spt[c] <==> f420-2[c] + mh4spt[c] + h[c],MA3733,Methanogenesis,1,-1000.0,1000,0
FAE,formaldehyde-activating enzyme,fald[c] + h4spt[c] <==> mleneh4spt[c] + h2o[c],MA3006,Methanogenesis,0,0.0,1000,0
